sale_id,customer_id,product_id,fecha_venta,quantity,unit_price,discount,channel,payment_method,country
300031,32,13,18/04/2023 00:00,5,28.06,0,Tienda,Yape/Plin,Colombia
300016,84,33,10/10/2025 00:00,5,537.68,0,Marketplace,Efectivo,Colombia
300173,7,12,30/03/2024 00:00,5,133.65,0,Tienda,Yape/Plin,Colombia
300003,84,34,10/12/2024 00:00,5,35.11,0,Distribuidor,Efectivo,Colombia
300120,122,22,02/06/2025 00:00,5,27.28,0,Marketplace,Tarjeta,Colombia
300008,86,49,04/12/2024 00:00,5,200.5,0,Tienda,Transferencia,Colombia
300182,75,32,20/07/2025 00:00,5,442.91,0,Distribuidor,Transferencia,Colombia
300094,150,53,28/08/2024 00:00,5,18752,0,Tienda,Tarjeta,Colombia
300074,19,35,31/08/2024 00:00,5,513.45,0,Distribuidor,Efectivo,Colombia
300156,74,25,17/09/2025 00:00,5,250.56,0,Tienda,Efectivo,Colombia
300158,74,51,14/11/2024 00:00,5,530.9,0,Web,Yape/Plin,Colombia
300149,27,55,30/01/2024 00:00,5,565.69,0,Distribuidor,Yape/Plin,Colombia
300077,214,50,13/09/2024 00:00,5,170.92,0,Tienda,Yape/Plin,Colombia
300124,214,48,28/11/2024 00:00,5,231.65,0,Distribuidor,Transferencia,Colombia
300187,35,54,11/03/2023 00:00,5,57118,0,Distribuidor,Tarjeta,Colombia
300037,238,5,04/10/2024 00:00,5,48.94,0,Marketplace,Transferencia,Colombia
300045,46,59,22/09/2023 00:00,5,502.95,0,Web,Tarjeta,Colombia
300166,43,45,11/01/2023 00:00,5,538.84,0,Web,Efectivo,Colombia
300233,49,40,21/03/2024 00:00,5,109.85,0,Marketplace,Efectivo,Colombia
300076,229,15,14/01/2025 00:00,5,79.61,0,Marketplace,Transferencia,Colombia
300193,53,43,07/08/2023 00:00,5,247.86,0,Tienda,Transferencia,Colombia
300209,53,15,17/01/2024 00:00,5,72.73,0,Tienda,Efectivo,Colombia
300060,181,12,05/10/2025 00:00,5,120.77,0,Distribuidor,Transferencia,Colombia
300140,181,17,01/12/2025 00:00,5,64.27,0,Web,Yape/Plin,Colombia
300131,190,15,16/09/2024 00:00,5,83.46,0,Tienda,Efectivo,Colombia
300205,116,42,30/12/2023 00:00,5,143.6,0,Tienda,Efectivo,Colombia
300148,147,48,26/01/2024 00:00,5,252.29,0,Distribuidor,Yape/Plin,Colombia
300263,90,27,23/04/2024 00:00,5,143.7,0,Marketplace,Transferencia,Colombia
300265,38,48,13/03/2024 00:00,5,22825,0,Marketplace,Yape/Plin,Colombia
300277,240,47,14/11/2023 00:00,5,48991,0,Tienda,Tarjeta,Colombia
300279,90,35,10/02/2023 00:00,5,58745,0,Web,Yape/Plin,Colombia
300287,8,17,07/01/2025 00:00,5,72.59,0,Marketplace,Efectivo,Colombia
300296,120,23,03/06/2024 00:00,5,160.84,0,Web,Efectivo,Colombia
300297,150,4,01/11/2024 00:00,5,18.75,0,Distribuidor,Tarjeta,Colombia
300318,8,55,04/10/2023 00:00,5,578.67,0,Web,Transferencia,Colombia
300343,150,2,12/02/2025 00:00,5,795.61,0,Tienda,Tarjeta,Colombia
300345,46,27,08/01/2024 00:00,5,143.47,0,Marketplace,Tarjeta,Colombia
300347,177,15,14/01/2024 00:00,5,82.41,0,Distribuidor,Tarjeta,Colombia
300353,80,34,30/06/2023 00:00,5,33.07,0,Distribuidor,Yape/Plin,Colombia
300365,227,1,20/09/2023 00:00,5,970.1,0,Web,Transferencia,Colombia
300367,80,35,24/12/2024 00:00,5,493.08,0,Marketplace,Transferencia,Colombia
300371,145,12,15/11/2024 00:00,5,140.32,0,Marketplace,Yape/Plin,Colombia
300384,179,25,17/10/2023 00:00,5,254.22,0,Marketplace,Tarjeta,Colombia
300397,44,31,31/05/2024 00:00,5,50217,0,Web,Transferencia,Colombia
300409,214,25,06/08/2024 00:00,5,23636,0,Distribuidor,Efectivo,Colombia
300417,187,59,22/09/2025 00:00,5,46104,0,Marketplace,Transferencia,Colombia
300422,240,28,11/12/2025 00:00,5,235.51,0,Marketplace,Yape/Plin,Colombia
300427,187,8,13/09/2024 00:00,5,49.8,0,Distribuidor,Efectivo,Colombia
300429,188,26,10/01/2025 00:00,5,259.3,0,Tienda,Tarjeta,Colombia
300437,122,53,19/11/2023 00:00,5,188.37,0,Tienda,Efectivo,Colombia
300439,96,25,10/08/2025 00:00,5,240.16,0,Distribuidor,Tarjeta,Colombia
300441,19,41,31/08/2023 00:00,5,456.4,0,Tienda,Yape/Plin,Colombia
300456,78,51,19/11/2025 00:00,5,5958,0,Distribuidor,Yape/Plin,Colombia
300459,75,14,11/10/2025 00:00,5,77.05,0,Tienda,Efectivo,Colombia
300474,44,54,10/09/2025 00:00,5,512.47,0,Distribuidor,Transferencia,Colombia
300475,49,14,28/04/2024 00:00,5,73.12,0,Distribuidor,Efectivo,Colombia
300486,229,7,18/07/2023 00:00,5,223.45,0,Distribuidor,Tarjeta,Colombia
300494,45,45,24/04/2025 00:00,5,580.29,0,Web,Tarjeta,Colombia
300508,177,19,23/06/2023 00:00,5,115.69,0,Web,Yape/Plin,Colombia
300517,216,5,23/02/2025 00:00,5,4303,0,Tienda,Efectivo,Colombia
300537,72,49,03/02/2024 00:00,5,187.57,0,Marketplace,Tarjeta,Colombia
300544,108,47,15/10/2024 00:00,5,564.34,0,Tienda,Efectivo,Colombia
300556,163,45,19/08/2024 00:00,5,614.74,0,Web,Transferencia,Colombia
300558,130,35,18/07/2024 00:00,5,564.63,0,Distribuidor,Yape/Plin,Colombia
300568,146,42,08/03/2023 00:00,5,143.23,0,Tienda,Transferencia,Colombia
300572,38,43,08/01/2023 00:00,5,255.04,0,Tienda,Yape/Plin,Colombia
300594,190,16,21/03/2024 00:00,5,115.6,0,Marketplace,Efectivo,Colombia
300612,153,38,28/02/2024 00:00,5,55032,0,Marketplace,Tarjeta,Colombia
300617,145,25,17/05/2024 00:00,5,226.1,0,Web,Yape/Plin,Colombia
300622,201,8,16/04/2023 00:00,5,53.02,0,Web,Tarjeta,Colombia
300624,93,3,02/03/2023 00:00,5,176.85,0,Tienda,Tarjeta,Colombia
300629,163,8,31/08/2025 00:00,5,5196,0,Marketplace,Transferencia,Colombia
300638,78,42,31/07/2025 00:00,5,143.46,0,Distribuidor,Yape/Plin,Colombia
300646,122,13,02/11/2024 00:00,5,283,0,Tienda,Efectivo,Colombia
300661,173,26,28/02/2024 00:00,5,254.54,0,Tienda,Transferencia,Colombia
300678,80,27,11/11/2023 00:00,5,160.62,0,Tienda,Tarjeta,Colombia
300679,194,19,21/02/2024 00:00,5,12518,0,Marketplace,Efectivo,Colombia
300685,114,57,13/09/2024 00:00,5,69.02,0,Distribuidor,Efectivo,Colombia
300686,49,58,10/08/2023 00:00,5,312.16,0,Marketplace,Efectivo,Colombia
300699,84,48,31/05/2025 00:00,5,248.97,0,Distribuidor,Tarjeta,Colombia
300708,216,6,05/09/2024 00:00,5,63.31,0,Tienda,Yape/Plin,Colombia
300732,5,45,31/03/2025 00:00,5,64132,0,Marketplace,Yape/Plin,Colombia
300743,44,41,07/04/2025 00:00,5,448.23,0,Web,Tarjeta,Colombia
300746,46,6,25/09/2023 00:00,5,63.63,0,Tienda,Transferencia,Colombia
300747,175,21,05/09/2025 00:00,5,119.63,0,Tienda,Transferencia,Colombia
300749,133,33,23/12/2023 00:00,5,62213,0,Distribuidor,Transferencia,Colombia
300755,213,41,15/03/2023 00:00,5,463.06,0,Distribuidor,Transferencia,Colombia
300763,120,1,11/07/2025 00:00,5,982.97,0,Marketplace,Transferencia,Colombia
300775,145,47,13/10/2024 00:00,5,52305,0,Tienda,Tarjeta,Colombia
300777,181,13,04/07/2024 00:00,5,31.11,0,Marketplace,Tarjeta,Colombia
300778,180,1,20/03/2025 00:00,5,87857,0,Distribuidor,Transferencia,Colombia
300784,106,49,30/07/2025 00:00,5,211.24,0,Distribuidor,Yape/Plin,Colombia
300798,21,37,12/03/2025 00:00,5,55.16,0,Marketplace,Transferencia,Colombia
300802,86,50,22/08/2023 00:00,5,178.76,0,Tienda,Efectivo,Colombia
300811,5,25,03/02/2023 00:00,5,244.54,0,Tienda,Transferencia,Colombia
300814,86,9,11/08/2024 00:00,5,88.55,0,Marketplace,Efectivo,Colombia
300815,196,26,02/03/2025 00:00,5,280.71,0,Distribuidor,Tarjeta,Colombia
300819,29,39,08/06/2025 00:00,5,302.36,0,Distribuidor,Transferencia,Colombia
300820,179,12,03/07/2025 00:00,5,144.44,0,Distribuidor,Yape/Plin,Colombia
300834,29,41,02/08/2023 00:00,5,407.29,0,Web,Yape/Plin,Colombia
300836,201,47,29/01/2025 00:00,5,479.23,0,Web,Efectivo,Colombia
300843,108,25,27/09/2024 00:00,5,228.54,0,Marketplace,Yape/Plin,Colombia
300844,27,51,28/12/2024 00:00,5,585.46,0,Marketplace,Yape/Plin,Colombia
300845,137,18,21/02/2025 00:00,5,74.81,0,Distribuidor,Yape/Plin,Colombia
300849,218,43,18/06/2024 00:00,5,240,0,Distribuidor,Yape/Plin,Colombia
300854,238,40,18/08/2025 00:00,5,119.57,0,Distribuidor,Tarjeta,Colombia
